d1xvwa1;50;100;56;100;52.6;50;45;47.6;25;52.6;55.4;100;41.2;53.8;52.4;57.2;55;58.7;50;0;100;36.4;28.6;48;100;25;25;100;16.7;100;100;100;100;44.4;100;63.2;56.8;100
d2cv4a1;0;14.3;47.3;100;39.1;43.4;100;100;40;37.1;41.6;55;39.8;46.4;46.6;100;54.3;53.3;45.4;57.6;52;20;48;60.9;100;33.3;54.6;100;59.3;12.5;100;41.2;12.5;58.3;100;100;100;100
d1t3ba1;100;33.3;100;100;100;33.3;50;100;28.6;100;100;57.7;100;16.7;65.4;100;100;50;0;100;56;52.6;66.1;100;22.2;21.4;100;100;33.3;52.6;100;100;100;45.4;35.7;44.4;47.6;18.2
d2dlxa1;36.4;33.3;100;40;50;100;56.4;100;100;53.7;54;100;100;100;37.5;41.7;46.7;100;47.4;100;100;100;100;42.9;100;100;100;52;57.4;100;44.4;100;100;63.2;100;100;100;58.3
d1knga_;100;55;100;100;100;40;23.1;0;30;100;100;50;0;58.6;100;52.2;44.4;100;100;48.5;61.3;100;47.8;60;54.3;65.8;41.7;65.1;100;55.8;44;60;46.7;100;38.5;52.8;100;32
d1i5ga_;100;100;100;59.6;100;65.4;28.6;42.9;60;57.5;100;40;42.9;40;33.3;33.3;100;47.1;100;100;57;100;38.9;60.3;61.8;100;55.3;100;100;58.4;45;100;100;28.6;100;52.2;100;60.2
d1o73a_;57.7;54.6;42.9;100;56;100;100;58.8;0;100;61.8;100;31.2;100;50;30;100;100;100;54.6;60.7;100;57.1;12.5;68.4;57.8;22.2;36.4;100;32.1;16.7;100;59.3;73.8;48.4;44.8;56.1;40.7
d1o8xa_;100;52.9;40;22.2;100;14.3;65.3;100;57.6;55;57.6;100;59.6;42.9;20;59.3;44.4;100;59.4;36.4;58.3;58.9;41.2;44;28.6;52.4;28.6;40;100;40;45;100;100;28.6;30.8;54;59.6;63.9
d2fy6a1;28.6;100;55.1;46.2;100;55.6;12.5;16.7;55.2;48.2;56.5;59.5;100;12.5;55.6;22.2;100;100;100;100;0;67.4;60.8;56.9;37.5;42.1;16.7;43.3;50;33.3;33.3;43.8;100;46.2;20;63.4;100;36.8
d2b5xa1;47.1;100;28.6;25;100;47.1;44.4;100;12.5;100;60;63.3;64;100;41.7;100;57.7;36.4;56.5;45.4;56.3;51;63.2;57.7;58.8;51.8;51;0;22.2;0;30;42.9;100;44.4;33.3;51.4;100;48.7
d2b5ea1;20;100;22.2;10;59.5;100;100;11.1;38.5;20;11.1;45.8;20;37.5;25;50;100;100;33.3;36.4;67.4;0;52.4;44.2;55.3;46.2;50;33.3;25;57;52.4;43.8;22.2;52.1;37.5;50.8;28.6;48.5
d1j9ba_;43.2;100;100;100;100;100;100;100;16.7;100;33.3;41.7;100;100;100;41.7;100;100;100;100;100;0;100;50;36.4;100;100;100;22.2;59.6;20;100;55;100;100;53.6;100;100
d1qgva_;25;100;35.7;56.7;100;30;58.2;100;100;28.6;25;50;56.2;100;100;27.3;100;100;100;100;36.8;0;100;62.3;30.8;36.4;58;47.6;100;55.1;60;38.5;50;57.8;40;54.5;56.2;56.2
d1st9a_;100;100;20;100;50.5;58.9;46.2;27.3;59.1;55.4;59.1;100;58.1;53.1;54.1;64.6;25;48.3;33.3;53.8;55.4;51.1;52.7;37.5;58.9;54;58.9;100;62.5;59.2;41.2;55.3;16.7;33.3;56;38.1;100;61.9
d1z5ye1;48;100;16.7;28.6;59.8;59.5;61.1;100;61;59.8;60.6;100;64.2;59.7;18.2;100;28.6;61;100;28.6;60.8;52.4;0;25;42.9;16.7;48;63.6;50;28.6;50;100;25;59.2;100;100;100;33.3
d1sena_;20;100;52;37.5;100;50;56.2;42.9;50;40;100;16.7;29.4;100;42.9;100;28.6;50;100;100;63.7;20;48;0;42.9;34.4;63.6;45.4;40;40.9;38.1;42.1;20;28.6;100;52.7;100;54.2
d1zzoa1;60.9;52.4;100;100;43.8;27.3;100;100;22.2;36.4;61.8;25;33.3;63.3;59.3;50;28.6;73.7;55.6;48;56.9;44.2;25;0;61.2;53;100;68;100;49.4;38.1;56.2;56.1;60;65.1;60;53.1;53.6
d1lu4a_;100;47.1;100;65.7;56.4;25;100;25;44.8;100;100;39.1;40.9;53.8;100;46.2;25;40;100;100;46.2;42.3;0;36.4;61.1;39.1;100;100;60.8;51.6;50;100;100;62.5;25;69.9;58;27.3
d2djka1;46.2;60;28.6;57.1;47.4;100;100;100;28.6;52.6;52.6;30.8;30;40;42.9;56.8;100;100;100;100;100;14.3;0;0;100;100;100;100;46.7;44.1;100;35;16.7;100;100;100;22.2;100
d1wpia1;33.3;100;100;100;100;100;100;62.8;100;100;100;52.9;100;100;100;28.6;30;100;100;100;100;100;100;45.4;100;100;46.7;100;100;14.3;100;61.5;59.7;100;100;100;100;56.5
d2hfda1;100;56.2;100;44.4;100;100;0;37.5;53.4;12.5;100;40;100;100;60.8;100;100;0;100;46.2;47.1;60.8;42.9;100;50;100;42.9;100;100;100;40;100;47.1;37.5;25;100;100;62
d1v9wa_;50;44.4;100;100;100;44.4;100;45.4;48;45;50;61;100;50;0;56.2;100;100;33.3;57.9;37.5;100;0;42.9;52.4;100;0;25;100;46.7;50;100;100;38.9;100;63.3;100;45
d2b5ea3;35.7;33.3;100;100;47.1;50;56.8;100;14.3;58.1;45.4;100;100;60.5;100;100;0;100;26.7;0;100;23.8;11.1;100;53.1;58.3;27.3;100;61.4;50;54.6;100;50;28.6;100;30.8;100;100
d1a8ya1;53.3;100;61.2;54.6;23.1;42.9;50;100;100;30.8;100;56.8;38.2;14.3;45;100;100;14.3;100;58.8;0;38.1;58.7;46.2;64.3;100;14.3;27.3;100;28.6;35.7;46.2;100;100;100;100;100;44.4
d1g7ea_;33.3;100;16.7;100;100;53.8;100;60.5;65.6;18.2;50;100;100;100;56.7;100;100;100;16.7;100;0;25;100;100;62.5;57.7;37.5;100;56;41.7;18.2;50;100;40;53.8;40;100;22.2
